episode_id,source,chem,plate,n_cand,dims,max_merit,chance,cls_gp,cls_xrd,fm_prior,fm_xrd,fm_xrd_nogap,fm_xrd_nomace,cluster
5406_20200218.143845_CA4,base,Cr-Sb,5406,29,1,0.440420246110982,0.19479,0.06112,0.06082,0.06112,0.06243,0.06243,0.06243,Cr-Sb
5406_20200218.162452_CA1,base,Cr-Sb,5406,28,1,0.0762668183541904,0.62054,0.54033,1.0,0.70379,1.0,1.0,1.0,Cr-Sb
5406_20200218.162452_CA2,base,Cr-Sb,5406,28,1,0.0223669623059867,0.67434,0.72573,1.0,0.77612,1.0,1.0,1.0,Cr-Sb
5406_20200218.162452_CA3,base,Cr-Sb,5406,28,1,0.008694721775312,0.86852,0.8967,0.95275,0.96264,0.95275,0.95275,0.95275,Cr-Sb
5406_20200218.162452_CA4,base,Cr-Sb,5406,28,1,0.0045668809286898,0.5741,0.54972,0.82552,0.0,0.54972,0.54972,0.54972,Cr-Sb
5407_20200218.144415_CA1,base,Cr-Sb,5407,29,1,0.0820280366692131,0.63697,0.4078,0.4078,0.70296,0.21687,0.21687,0.21687,Cr-Sb
5407_20200218.144415_CA2,base,Cr-Sb,5407,29,1,0.0339145677655678,0.70718,0.53864,0.53864,0.7673,0.39286,0.39286,0.39286,Cr-Sb
5407_20200218.144415_CA3,base,Cr-Sb,5407,29,1,0.0335503321410322,0.8452,0.84608,0.84703,0.8146,0.83254,0.83254,0.83254,Cr-Sb
5407_20200218.144415_CA4,base,Cr-Sb,5407,29,1,0.0318133271418621,0.82984,0.8405,0.8405,0.8405,0.91365,0.91365,0.91365,Cr-Sb
5407_20200218.162628_CA1,base,Cr-Sb,5407,28,1,0.134827349613285,0.53639,0.54613,0.29605,0.90807,0.29605,0.29605,0.29605,Cr-Sb
5407_20200218.162628_CA2,base,Cr-Sb,5407,28,1,0.0455007760532151,0.52508,0.58071,0.30457,0.9269,0.30457,0.30457,0.30457,Cr-Sb
5407_20200218.162628_CA3,base,Cr-Sb,5407,28,1,0.0182493374017568,0.558,0.62827,0.34031,0.24607,0.34031,0.34031,0.34031,Cr-Sb
5407_20200218.162628_CA4,base,Cr-Sb,5407,28,1,0.46757048092869,0.11433,0.00475,0.00475,0.01264,0.00348,0.00348,0.00348,Cr-Sb
5415_20200218.143926_CA1,base,Fe-Sb,5415,30,1,0.0766987838044309,0.48919,0.36533,1.0,0.25643,0.31711,0.31711,0.31711,Fe-Sb
5415_20200218.143926_CA2,base,Fe-Sb,5415,30,1,0.108324901098901,0.35957,0.09867,1.0,0.04665,0.02297,0.02297,0.02297,Fe-Sb
5415_20200218.143926_CA3,base,Fe-Sb,5415,30,1,0.102066003065917,0.32297,0.04987,1.0,0.00352,1.0,1.0,1.0,Fe-Sb
5415_20200218.143926_CA4,base,Fe-Sb,5415,30,1,0.0178380060366845,0.45378,0.30733,1.0,0.08944,1.0,1.0,1.0,Fe-Sb
5415_20200218.161125_CA1,base,Fe-Sb,5415,30,1,0.0480322609813395,0.68841,0.79479,0.66358,0.68103,0.66358,0.66358,0.66358,Fe-Sb
5415_20200218.161125_CA2,base,Fe-Sb,5415,30,1,0.0550046153846154,0.35836,0.09431,1.0,0.09057,0.14418,0.14418,0.14418,Fe-Sb
5415_20200218.161125_CA3,base,Fe-Sb,5415,30,1,0.0379606250577901,0.31821,1.0,1.0,0.11226,0.21218,0.21218,0.21218,Fe-Sb
5415_20200218.161125_CA4,base,Fe-Sb,5415,30,1,0.0129692020338983,0.32182,0.43957,0.62593,0.06617,0.62593,0.62593,0.62593,Fe-Sb
5415_20220623.175729_CA1,base,Fe-Sb,5415,22,1,0.231851012987013,0.35174,0.21262,1.0,0.06155,0.07366,0.07366,0.07366,Fe-Sb
5415_20220623.175729_CA2,base,Fe-Sb,5415,22,1,0.193509507006755,0.46714,0.13642,1.0,0.01917,1.0,1.0,1.0,Fe-Sb
5415_20220623.175729_CA3,base,Fe-Sb,5415,22,1,0.160539696074293,0.40957,1.0,1.0,0.01861,1.0,1.0,1.0,Fe-Sb
5415_20220623.175729_CA4,base,Fe-Sb,5415,22,1,0.0736428894269572,0.36758,1.0,1.0,0.0,0.09909,0.09909,0.09909,Fe-Sb
5417_20200218.145212_CA1,base,Sb-Zn,5417,30,1,0.539504201680672,0.32807,0.28955,0.28955,1.0,0.54048,0.54048,0.19477,Sb-Zn
5417_20200218.145212_CA2,base,Sb-Zn,5417,30,1,0.0086063835164835,0.61925,0.6652,0.45519,0.39131,0.6652,0.6652,0.45519,Sb-Zn
5417_20200218.145212_CA3,base,Sb-Zn,5417,30,1,0.0076034747061829,0.4226,0.38333,0.19861,0.08472,0.38333,0.38333,0.19861,Sb-Zn
